N,P,K,ph,label
107,10,49,6.755192025,watermelon
115,11,46,6.623167177,watermelon
84,25,52,6.12532356,watermelon
120,7,47,6.653867608,watermelon
91,12,46,6.343942518,watermelon
89,22,52,6.217300786,watermelon
113,19,46,6.286387658,watermelon
97,22,50,6.7698938,watermelon
117,30,50,6.744966312,watermelon
90,14,52,6.391858432,watermelon
104,23,47,6.770434148,watermelon
81,16,45,6.727468157,watermelon
88,5,47,6.662244646,watermelon
92,7,45,6.944640222,watermelon
81,18,50,6.507110986,watermelon
111,5,55,6.520663422,watermelon
108,23,51,6.106500787,watermelon
113,30,50,6.277484043,watermelon
83,10,53,6.195142279,watermelon
101,11,51,6.792035575,watermelon
114,21,55,6.472756256,watermelon
99,6,45,6.000975617,watermelon
92,20,55,6.587791262,watermelon
92,7,48,6.956508826,watermelon
91,24,55,6.259086583,watermelon
110,21,54,6.747537642,watermelon
112,25,51,6.932537231,watermelon
89,25,54,6.353107393,watermelon
100,10,53,6.211748957,watermelon
83,22,54,6.277245254,watermelon
95,14,50,6.560443519,watermelon
119,30,49,6.903020221,watermelon
97,12,47,6.765094964,watermelon
110,7,45,6.189213927,watermelon
96,18,50,6.904241707,watermelon
83,23,55,6.463271076,watermelon
120,24,47,6.260838965,watermelon
22,30,12,6.354006744,orange
37,6,13,7.511755068,orange
27,13,6,7.335158382,orange
7,16,9,7.813916603,orange
20,7,9,7.129136941,orange
26,27,10,6.079998496,orange
5,23,15,7.408939392,orange
0,18,14,7.207991261,orange
39,24,14,7.189259647,orange
13,23,6,7.365338111,orange
21,17,15,7.455991072,orange
33,12,8,6.822282114,orange
6,9,12,7.028746406,orange
19,7,10,6.118430299,orange
24,18,6,6.285312759,orange
9,11,8,6.559236744,orange
31,8,7,7.163245982,orange
22,17,5,6.945562889,orange
13,5,8,7.474710503,orange
16,8,9,7.601189843,orange
4,13,6,7.561143224,orange
0,25,14,6.361671475,orange
8,7,10,6.929216014,orange
4,23,5,7.477935216,orange
33,14,8,7.684420446,orange
30,7,15,7.825531916,orange
21,29,12,6.438668989,orange
11,14,5,6.946354724,orange
9,8,15,7.994465371,orange
5,18,14,7.434118807,orange
29,25,14,7.781988584,orange
33,12,15,6.052318465,orange
8,16,6,7.106650373,orange
15,14,8,6.22094286,orange
16,7,8,6.420457311,orange
0,12,7,6.969249676,orange
5,25,6,6.011302181,orange
6,8,11,6.600948788,orange
10,5,5,7.817846496,orange
1,17,6,6.8198271,orange
1,30,10,7.291405641,orange
0,23,15,7.598729065,orange
24,27,9,6.157135092,orange
36,11,13,7.1917274,orange
40,21,8,7.418761774,orange
40,22,6,6.488221135,orange
32,18,13,6.044167236,orange
9,10,10,6.010391864,orange
13,16,8,6.949838549,orange
15,9,11,7.907956251,orange
29,11,5,7.639788459,orange
1,15,9,7.53350946,orange
18,5,11,6.251586885,orange
14,22,9,6.543191814,orange
33,15,7,7.651225301,orange
4,6,7,6.708889665,orange
17,16,14,6.625538653,orange
12,20,10,6.528354932,orange
34,29,8,6.450640306,orange
39,28,10,7.181907673,orange
31,25,12,7.016482298,orange
12,6,8,6.388617138,orange
12,29,13,7.57125447,orange
26,11,11,7.609348255,orange
19,24,15,7.137136973,orange
39,21,9,6.354022554,orange
16,29,13,6.196907944,orange
36,29,13,7.829507245,orange
37,23,12,6.395258356,orange
39,9,15,7.992041984,orange
31,5,14,6.583411671,orange
18,12,8,6.206053072,orange
20,20,10,6.976997772,orange
5,8,5,6.562594972,orange
20,8,12,7.260416405,orange
25,21,11,6.460044778,orange
14,19,14,6.699164936,orange
37,18,12,7.401121811,orange
26,15,6,6.912033409,orange
13,22,5,7.764040111,orange
32,25,9,7.796034006,orange
19,7,9,6.969883483,orange
28,7,9,6.730757538,orange
24,30,11,6.601395755,orange
7,17,10,6.465913274,orange
18,23,8,6.41354791,orange
7,20,12,6.475275337,orange
20,23,11,6.407715561,orange
18,14,11,6.550814117,orange
34,11,10,7.36220835,orange
20,29,10,7.36549204,orange
37,24,13,7.8546243,orange
12,8,10,7.995848977,orange
34,10,14,6.725600855,orange
6,13,9,7.786725333,orange
27,30,5,7.656978112,orange
13,8,12,7.105904818,orange
6,7,7,7.199106204,orange
40,17,15,7.871063004,orange
31,26,9,7.566165721,orange
133,47,24,7.231324765,cotton
136,36,20,6.925412377,cotton
104,47,18,7.633437412,cotton
133,47,23,6.827354668,cotton
126,38,23,6.176716425,cotton
126,50,19,6.628722836,cotton
113,41,20,7.256877571,cotton
121,45,22,6.443785385,cotton
121,47,16,7.723240151,cotton
129,60,22,5.947448589,cotton
107,45,25,7.227745516,cotton
122,59,18,6.219469084,cotton
140,38,15,6.021439523,cotton
102,49,21,6.253343655,cotton
111,40,25,6.187455799,cotton
131,35,18,7.057693366,cotton
135,43,16,6.720449769,cotton
100,46,18,6.431689506,cotton
123,39,24,7.453106264,cotton
117,56,15,7.368258226,cotton
121,36,24,7.352401887,cotton
101,58,18,6.652143699,cotton
107,42,24,6.144631795,cotton
100,41,22,7.318802162,cotton
125,39,21,7.954629324,cotton
105,60,23,6.207652157,cotton
102,46,19,6.631005298,cotton
131,49,22,7.306918817,cotton
139,35,15,5.898293044,cotton
108,36,19,7.238566893,cotton
118,45,23,7.977651226,cotton
107,51,22,5.983075895,cotton
125,60,17,6.785723961,cotton
113,37,20,7.393441155,cotton
131,52,16,6.486068274,cotton
115,48,16,7.175934962,cotton
113,38,25,7.388265888,cotton
111,41,18,6.10539819,cotton
111,53,19,6.419536555,cotton
122,48,16,6.307585854,cotton
108,46,17,6.93221485,cotton
132,41,22,7.810865753,cotton
103,42,17,6.527541661,cotton
133,50,25,7.569454601,cotton
127,37,18,7.041065585,cotton
110,39,25,7.208795456,cotton
131,38,19,6.814341946,cotton
108,38,24,7.442217061,cotton
122,40,17,6.854558957,cotton
111,50,15,7.884550475,cotton
140,40,17,6.006085786,cotton
100,40,20,7.432043735,cotton
123,50,16,6.498052108,cotton
107,36,21,6.205263534,cotton
118,50,19,6.360812227,cotton
103,51,20,7.046607434,cotton
133,57,19,7.947011366,cotton
129,47,20,6.281913858,cotton
116,52,19,6.114525877,cotton
114,40,23,6.753978061,cotton
131,60,17,7.425041316,cotton
107,43,18,6.745104394,cotton
123,44,21,7.641116569,cotton
112,49,25,6.470135478,cotton
119,44,15,7.091992365,cotton
130,59,19,6.520403794,cotton
127,53,24,6.127939628,cotton
134,52,18,7.994679507,cotton
109,36,18,7.524707577,cotton
100,48,17,7.827877818,cotton
132,52,19,6.436691764,cotton
102,37,25,5.907930899,cotton
111,39,22,6.135025006,cotton
117,51,15,6.044556594,cotton
136,36,24,7.59781958,cotton
134,56,18,6.691268104,cotton
112,54,15,6.175492306,cotton
105,56,15,7.272316209,cotton
140,45,15,5.801047545,cotton
126,46,25,6.757457943,cotton
106,49,24,6.983395573,cotton
121,53,19,7.976889498,cotton
108,60,17,6.558902588,cotton
116,56,17,7.979090365,cotton
100,52,19,7.903528673,cotton
129,43,16,6.73210948,cotton
118,44,23,6.691690476,cotton
117,43,25,7.839849298,cotton
126,37,21,6.61448588,cotton
120,48,16,7.456971816,cotton
102,45,16,7.2942193,cotton
131,56,20,7.762647875,cotton
114,40,17,6.363406102,cotton
101,37,18,7.63737841,cotton
106,46,20,6.200671976,cotton
113,38,20,6.364729934,cotton
102,53,21,6.913678684,cotton
110,39,18,7.766259769,cotton
107,58,15,7.55606399,cotton
120,60,15,7.288377241,cotton
